src_bytes,dst_bytes,rischio
491,0,0
146,0,1
0,0,0
232,8153,0
199,420,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
287,2251,0
334,0,0
0,0,0
0,0,0
300,13788,0
18,0,1
233,616,0
343,1178,0
0,0,0
0,0,0
253,11905,0
147,105,1
0,0,0
437,14421,0
0,0,0
227,6588,0
215,10499,0
241,1400,0
8,0,1
0,0,0
303,555,0
0,0,0
45,45,1
105,147,1
43,43,1
0,0,0
324,2302,0
0,0,0
0,0,0
0,0,0
1591,372,0
146,105,1
290,3006,0
0,0,0
28,0,1
255,861,0
334,0,0
0,0,0
302,498,0
0,0,0
28,0,1
220,1398,0
43,69,1
44,133,1
8,0,1
0,0,0
0,0,0
43,43,1
641,0,0
0,0,0
0,0,0
310,2794,0
0,0,0
696,333,0
0,0,0
0,0,0
0,0,0
0,0,0
221,2878,0
0,0,0
181,0,1
42,42,1
0,0,0
12,0,0
0,0,0
210,2790,0
321,5683,0
0,0,0
329,3982,0
0,0,0
0,0,0
8,0,1
320,379,0
0,0,0
225,3762,0
0,0,0
0,0,0
146,105,1
247,1416,0
353,1483,0
44,44,1
0,0,0
0,0,0
3065,331,0
102,102,1
259,750,0
147,105,1
0,0,0
0,354,0
309,306,0
0,0,0
278,7227,0
28,0,1
313,761,0
219,1212,0
245,9165,0
328,2243,0
0,0,0
251,301,0
2089,335,0
0,0,0
237,511,0
324,431,0
1,0,0
0,0,0
105,145,1
218,974,0
325,2649,0
0,0,0
0,0,0
0,0,0
328,275,0
0,0,0
9,138,0
46,46,1
1079,334,0
45,139,1
273,903,0
0,0,0
0,0,0
237,138,0
225,1357,0
0,0,0
0,0,0
147,0,1
262,1011,0
1032,0,1
0,0,0
261,8412,0
0,0,0
0,0,0
294,1719,0
221,981,0
284,10352,0
0,0,0
309,16096,0
334,0,0
0,0,0
0,0,0
214,283,0
0,0,0
0,0,0
0,0,0
46,78,1
748,0,0
0,0,0
8,0,1
0,0,0
329,8437,0
9,0,0
46,128,1
1766,0,0
0,0,0
1,0,0
8,135,0
266,529,0
245,0,0
295,465,0
0,0,0
228,6834,0
1032,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
30,0,1
2078,333,0
19,0,0
661,329,0
28,0,1
0,0,0
0,0,0
0,0,0
1075,364,0
223,656,0
350,1185,0
233,2470,0
0,0,0
0,0,0
201,1938,0
271,4781,0
14416,0,3
227,11564,0
0,0,0
225,2445,0
176,426,0
0,0,0
227,762,0
855,575,0
944,330,0
954,326,0
0,0,0
166,34660,0
306,2698,0
0,0,0
0,0,0
1480,0,1
0,0,0
313,8549,0
0,0,0
0,0,0
285,6008,0
226,1411,0
256,12984,0
3740,449,0
224,449,0
0,0,0
832,0,0
0,0,0
8,0,1
201,169,0
285,304,0
0,0,0
7422,0,3
198,12884,0
2310,328,0
331,955,0
65,0,1
28,0,1
45,77,1
0,0,0
0,0,0
0,0,0
9,142,0
283,912,0
221,1789,0
18,0,1
0,0,0
0,0,0
0,0,0
302,1380,0
0,0,0
8,0,1
0,0,0
355,870,0
8,0,1
106,1468,0
286,1423,0
1,0,0
0,0,0
1032,0,1
168,9551,0
238,864,0
0,0,0
291,10369,0
0,0,0
749,330,0
198,6924,0
0,0,0
167,709,0
241,851,0
337,3360,0
729,328,0
8,0,1
0,0,0
222,1483,0
0,0,0
0,0,0
46,134,1
246,2719,0
222,771,0
0,0,0
0,0,0
279,9598,0
226,651,0
299,447,0
0,0,0
12,0,0
281,1951,0
0,0,0
42,42,1
0,0,0
0,0,0
263,453,0
1,0,0
0,0,0
0,0,0
0,0,0
283,1980,0
161,5530,0
211,321,0
201,1701,0
8,0,1
147,0,1
0,0,0
567,0,0
0,0,0
0,0,0
5131424,0,3
320,420,0
8,0,1
0,0,0
204,1229,0
0,0,0
10389,0,3
0,0,0
344,573,0
0,0,0
0,0,0
243,821,0
1032,0,1
8,0,1
0,0,0
105,146,1
0,0,0
1080,327,0
0,0,0
0,0,0
0,0,0
657,326,0
0,0,0
284,765,0
261,15455,0
317,315,0
33,0,1
0,0,0
0,0,0
44,70,1
215,584,0
0,0,0
332,2844,0
978,334,0
296,5670,0
0,0,0
0,0,0
214,9986,0
0,0,0
48,48,1
226,1301,0
0,0,0
78,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
294,3327,0
0,0,0
220,1249,0
0,0,0
196,3282,0
0,0,0
327,4482,0
0,0,0
319,0,0
1087,302,0
210,3754,0
0,0,0
0,0,0
234,6282,0
8,0,1
54540,8314,3
237,1461,0
0,0,0
0,0,0
200,955,0
219,657,0
284,5921,0
0,0,0
325,426,0
0,0,0
30,0,1
335,7902,0
36,0,1
0,0,0
43,43,1
0,0,0
0,0,0
0,0,0
0,0,0
216,1956,0
0,0,0
44,78,1
347,8113,0
570,280,0
219,17540,0
146,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
18,0,1
0,4,0
233,581,0
0,0,0
276,0,0
44,139,1
8,0,1
1828,148722,0
200,764,0
46,46,1
0,0,0
0,0,0
216,5284,0
0,0,0
234,997,0
220,1643,0
0,0,0
105,146,1
0,0,0
0,0,0
0,0,0
0,0,0
288,2881,0
0,0,0
0,0,0
1,0,1
28,0,1
279,494,0
1032,0,1
192,0,0
105,1401,0
0,0,0
1330,282,0
520,0,1
0,0,0
230,362,0
44,110,1
271,3582,0
179,1668,0
852,0,0
222,310,0
314,4137,0
0,0,0
230,6880,0
0,0,0
0,0,0
857,327,0
234,1707,0
1032,0,1
28,0,1
0,0,0
215,6367,0
46,46,1
105,146,1
0,0,0
0,0,0
0,0,0
305,2507,0
0,0,0
336,15767,0
0,0,0
0,0,0
147,105,1
335,1212,0
0,0,0
339,241,0
317,3245,0
0,0,0
54540,8314,3
0,0,0
42,131,1
986,368,0
0,0,0
183,0,1
0,0,0
405,23786,0
0,0,0
785,327,0
258,4302,0
0,0,0
8,0,1
318,2649,0
0,0,0
0,0,0
0,0,0
216,1240,0
0,0,0
291,320,0
224,546,0
0,0,0
0,0,0
17,42,1
0,0,0
29,29,1
105,147,1
30,0,1
325,12884,0
0,0,0
0,0,0
12,0,0
212,828,0
240,1475,0
292,13206,0
172,12793,0
0,0,0
310,788,0
44,128,1
145,0,1
1238,2451,0
8,0,1
45,45,1
0,0,0
1551,362,0
1308,328,0
356,1125,0
364,6914,0
331,776,0
30,0,1
0,0,0
0,0,0
247,7546,0
300,1841,0
0,0,0
355,2109,0
0,0,0
316,1260,0
44,136,1
1458,4152,0
0,0,0
146,105,1
0,0,0
0,0,0
1,0,1
0,0,0
0,0,0
146,105,1
0,0,0
13794,2966,3
0,0,0
911,325,0
0,0,0
280,3332,0
0,0,0
0,0,0
41,41,1
10,139,0
311,488,0
281,1745,0
297,1285,0
0,0,0
43,72,1
0,0,0
334,0,0
8,0,1
215,9399,0
0,0,0
0,0,0
516,4,1
0,0,0
0,0,0
0,0,0
0,0,0
44,44,1
0,0,0
676,328,0
334,455,0
0,0,0
0,0,0
204,1596,0
520,0,1
0,0,0
192,301,0
18,0,1
0,0,0
0,0,0
0,0,0
256,4486,0
64,0,1
46,136,1
0,0,0
220,253,0
41,117,1
248,2313,0
1250,2451,0
0,0,0
44,70,1
209,1824,0
5891,0,3
8,0,1
276,1767,0
231,2304,0
0,0,0
312,422,0
1,0,0
0,0,0
29,0,1
13239,0,3
0,0,0
8,223,0
0,0,0
44,79,1
0,0,0
0,0,0
324,10647,0
0,0,0
18,0,1
355,657,0
1,0,0
0,0,0
54540,8314,3
205,253,0
0,0,0
325,753,0
0,0,0
232,193,0
886,326,0
319,3432,0
0,0,0
0,0,0
147,12141,0
1451,330,0
54540,8314,3
235,1889,0
0,0,0
0,0,0
299,1540,0
0,0,0
0,0,0
0,0,0
0,0,0
237,241,0
0,0,0
146,105,1
0,0,0
146,105,1
202,1923,0
0,0,0
383,0,0
345,2254,0
278,6546,0
0,0,0
196,16143,0
0,0,0
277,2253,0
203,578,0
0,0,0
147,105,1
0,0,0
0,0,0
0,0,0
0,0,0
367,5199,0
0,0,0
257,23051,0
8,0,1
44,44,1
128,44,1
254,523,0
225,22996,0
775,331,0
314,266,0
0,0,0
525,335,0
0,0,0
1,0,1
213,37327,0
190,8654,0
0,0,0
28,0,1
0,0,0
1067,3081,0
126,44,1
333,2547,0
0,0,0
4491,0,0
0,0,0
54540,8314,3
239,255,0
0,0,0
1258,359,0
0,0,0
0,0,0
0,0,0
42,65,1
224,1270,0
231,3215,0
147,105,1
44,72,1
183,0,1
0,0,0
0,0,0
125,179,0
13,40,0
233,4759,0
30,0,1
0,0,0
278,7958,0
0,0,0
0,0,0
237,5193,0
301,2698,0
246,3295,0
230,12471,0
46,82,1
147,105,1
0,0,0
641,0,0
28,0,1
0,0,0
82,1,0
0,0,0
0,0,0
0,0,0
46,80,1
0,0,0
0,0,0
376,345,0
0,0,0
105,146,1
334,0,0
0,0,0
30,0,1
1053,329,0
46,130,1
45,119,1
1539,395,0
0,0,0
0,0,0
358,1758,0
44,133,1
282,1227,0
323,1509,0
105,105,1
218,358,0
0,0,0
0,0,0
329,303,0
788,328,0
311,4591,0
0,0,0
0,0,0
35,130,0
1032,0,1
0,0,0
0,0,0
59,0,0
0,0,0
226,1022,0
203,2108,0
2544,333,0
1032,0,1
327,6721,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
54540,8314,3
0,0,0
0,0,0
28,0,1
8,0,1
0,0,0
0,0,0
763,335,0
0,0,0
307,8339,0
0,0,0
0,0,0
236,7262,0
246,0,0
0,0,0
0,0,0
0,0,0
300,13038,0
254,390,0
147,105,1
0,0,0
1,0,0
334,0,0
0,0,0
1221,3380,0
0,0,0
8,0,1
299,291,0
1874,0,0
1301,335,0
1,0,0
43,132,1
1032,0,1
0,0,0
330,256,0
0,0,0
302,7497,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
284,307,0
0,0,0
12,0,0
238,276,0
1194,482,0
6601,0,3
12,0,0
1452,330,0
2194619,0,3
0,0,0
0,0,0
0,0,0
240,748,0
0,0,0
42,42,1
0,0,0
336,1294,0
11436,1383,3
0,0,0
195,4768,0
516,4,1
286,3491,0
0,0,0
215,1062,0
196,1337,0
722,334,0
0,0,0
0,0,0
214,3477,0
0,0,0
232,2140,0
224,1783,0
8,0,1
192,0,0
294,478,0
0,0,0
213,259,0
0,0,0
105,146,1
0,0,0
303,458,0
0,0,0
44,126,1
73,45,1
197,2276,0
0,0,0
242,6725,0
0,0,0
308,607,0
0,0,0
0,0,0
291,868,0
0,0,0
2697,331,0
1,0,1
0,0,0
0,0,0
200,3042,0
0,0,0
0,0,0
8,224,0
1032,0,1
28,0,1
0,0,0
341,281,0
8,493,0
0,0,0
0,0,0
1483,363,0
46,128,1
2426,2737,0
36,0,1
210,1425,0
0,0,0
0,0,0
170,13603,0
0,0,0
8,0,1
0,0,0
0,0,0
0,0,0
0,0,0
269,8921,0
315,347,0
0,0,0
0,0,0
0,0,0
0,0,0
216,7384,0
0,0,0
0,0,0
235,12623,0
667,332,0
1160,333,0
8,0,1
1299,329,0
0,0,0
0,0,0
711,336,0
1032,0,1
8,0,1
0,0,0
0,0,0
0,0,0
42,42,1
0,0,0
147,0,1
0,0,0
0,0,0
222,5834,0
0,0,0
198,1427,0
0,0,0
520,0,1
0,0,0
0,0,0
0,0,0
8,0,1
0,0,0
0,0,0
0,0,0
217,1035,0
0,0,0
8,0,1
252,2795,0
200,940,0
0,0,0
243,663,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
209,2408,0
215,11680,0
0,0,0
31,0,1
338,275,0
249,27998,0
232,5745,0
260,283,0
0,0,0
0,0,0
2168,402,0
373,0,0
347,1417,0
354,1875,0
0,0,0
0,0,0
0,0,0
0,0,0
305,2698,0
0,0,0
105,147,1
221,602,0
887,436,0
695,328,0
520,0,1
495,0,0
0,0,0
0,0,0
2760,370,0
45,83,1
756,332,0
0,0,0
218,6776,0
0,0,0
0,0,0
0,0,0
7196,0,3
46,134,1
12,0,0
45,130,1
43,71,1
520,0,1
206,12642,0
1032,0,1
2634,8611,0
334,10686,0
4539,0,0
320,520,0
30,0,1
0,0,0
281,759,0
345,3938,0
0,0,0
223,408,0
0,0,0
0,0,0
8,0,1
0,0,0
204,260,0
0,0,0
1,0,0
0,0,0
0,0,0
676,23920,0
209,3556,0
0,0,0
0,0,0
229,934,0
0,0,0
516,4,1
344,1247,0
0,0,0
0,0,0
277,1224,0
325,3941,0
0,0,0
1277,328,0
0,0,0
0,0,0
219,183,0
0,0,0
0,0,0
41,71,1
0,0,0
0,0,0
326,420,0
0,0,0
1032,0,1
0,0,0
334,0,0
8,0,1
0,0,0
0,0,0
229,301,0
