src_bytes,dst_bytes,rischio,timestamp
491,0,0,2023-01-01 00:00:00
146,0,1,2023-01-01 00:01:00
0,0,0,2023-01-01 00:02:00
232,8153,0,2023-01-01 00:03:00
199,420,0,2023-01-01 00:04:00
0,0,0,2023-01-01 00:05:00
0,0,0,2023-01-01 00:06:00
0,0,0,2023-01-01 00:07:00
0,0,0,2023-01-01 00:08:00
0,0,0,2023-01-01 00:09:00
0,0,0,2023-01-01 00:10:00
0,0,0,2023-01-01 00:11:00
287,2251,0,2023-01-01 00:12:00
334,0,0,2023-01-01 00:13:00
0,0,0,2023-01-01 00:14:00
0,0,0,2023-01-01 00:15:00
300,13788,0,2023-01-01 00:16:00
18,0,1,2023-01-01 00:17:00
233,616,0,2023-01-01 00:18:00
343,1178,0,2023-01-01 00:19:00
0,0,0,2023-01-01 00:20:00
0,0,0,2023-01-01 00:21:00
253,11905,0,2023-01-01 00:22:00
147,105,1,2023-01-01 00:23:00
0,0,0,2023-01-01 00:24:00
437,14421,0,2023-01-01 00:25:00
0,0,0,2023-01-01 00:26:00
227,6588,0,2023-01-01 00:27:00
215,10499,0,2023-01-01 00:28:00
241,1400,0,2023-01-01 00:29:00
8,0,1,2023-01-01 00:30:00
0,0,0,2023-01-01 00:31:00
303,555,0,2023-01-01 00:32:00
0,0,0,2023-01-01 00:33:00
45,45,1,2023-01-01 00:34:00
105,147,1,2023-01-01 00:35:00
43,43,1,2023-01-01 00:36:00
0,0,0,2023-01-01 00:37:00
324,2302,0,2023-01-01 00:38:00
0,0,0,2023-01-01 00:39:00
0,0,0,2023-01-01 00:40:00
0,0,0,2023-01-01 00:41:00
1591,372,0,2023-01-01 00:42:00
146,105,1,2023-01-01 00:43:00
290,3006,0,2023-01-01 00:44:00
0,0,0,2023-01-01 00:45:00
28,0,1,2023-01-01 00:46:00
255,861,0,2023-01-01 00:47:00
334,0,0,2023-01-01 00:48:00
0,0,0,2023-01-01 00:49:00
302,498,0,2023-01-01 00:50:00
0,0,0,2023-01-01 00:51:00
28,0,1,2023-01-01 00:52:00
220,1398,0,2023-01-01 00:53:00
43,69,1,2023-01-01 00:54:00
44,133,1,2023-01-01 00:55:00
8,0,1,2023-01-01 00:56:00
0,0,0,2023-01-01 00:57:00
0,0,0,2023-01-01 00:58:00
43,43,1,2023-01-01 00:59:00
641,0,0,2023-01-01 01:00:00
0,0,0,2023-01-01 01:01:00
0,0,0,2023-01-01 01:02:00
310,2794,0,2023-01-01 01:03:00
0,0,0,2023-01-01 01:04:00
696,333,0,2023-01-01 01:05:00
0,0,0,2023-01-01 01:06:00
0,0,0,2023-01-01 01:07:00
0,0,0,2023-01-01 01:08:00
0,0,0,2023-01-01 01:09:00
221,2878,0,2023-01-01 01:10:00
0,0,0,2023-01-01 01:11:00
181,0,1,2023-01-01 01:12:00
42,42,1,2023-01-01 01:13:00
0,0,0,2023-01-01 01:14:00
12,0,0,2023-01-01 01:15:00
0,0,0,2023-01-01 01:16:00
210,2790,0,2023-01-01 01:17:00
321,5683,0,2023-01-01 01:18:00
0,0,0,2023-01-01 01:19:00
329,3982,0,2023-01-01 01:20:00
0,0,0,2023-01-01 01:21:00
0,0,0,2023-01-01 01:22:00
8,0,1,2023-01-01 01:23:00
320,379,0,2023-01-01 01:24:00
0,0,0,2023-01-01 01:25:00
225,3762,0,2023-01-01 01:26:00
0,0,0,2023-01-01 01:27:00
0,0,0,2023-01-01 01:28:00
146,105,1,2023-01-01 01:29:00
247,1416,0,2023-01-01 01:30:00
353,1483,0,2023-01-01 01:31:00
44,44,1,2023-01-01 01:32:00
0,0,0,2023-01-01 01:33:00
0,0,0,2023-01-01 01:34:00
3065,331,0,2023-01-01 01:35:00
102,102,1,2023-01-01 01:36:00
259,750,0,2023-01-01 01:37:00
147,105,1,2023-01-01 01:38:00
0,0,0,2023-01-01 01:39:00
0,354,0,2023-01-01 01:40:00
309,306,0,2023-01-01 01:41:00
0,0,0,2023-01-01 01:42:00
278,7227,0,2023-01-01 01:43:00
28,0,1,2023-01-01 01:44:00
313,761,0,2023-01-01 01:45:00
219,1212,0,2023-01-01 01:46:00
245,9165,0,2023-01-01 01:47:00
328,2243,0,2023-01-01 01:48:00
0,0,0,2023-01-01 01:49:00
251,301,0,2023-01-01 01:50:00
2089,335,0,2023-01-01 01:51:00
0,0,0,2023-01-01 01:52:00
237,511,0,2023-01-01 01:53:00
324,431,0,2023-01-01 01:54:00
1,0,0,2023-01-01 01:55:00
0,0,0,2023-01-01 01:56:00
105,145,1,2023-01-01 01:57:00
218,974,0,2023-01-01 01:58:00
325,2649,0,2023-01-01 01:59:00
0,0,0,2023-01-01 02:00:00
0,0,0,2023-01-01 02:01:00
0,0,0,2023-01-01 02:02:00
328,275,0,2023-01-01 02:03:00
0,0,0,2023-01-01 02:04:00
9,138,0,2023-01-01 02:05:00
46,46,1,2023-01-01 02:06:00
1079,334,0,2023-01-01 02:07:00
45,139,1,2023-01-01 02:08:00
273,903,0,2023-01-01 02:09:00
0,0,0,2023-01-01 02:10:00
0,0,0,2023-01-01 02:11:00
237,138,0,2023-01-01 02:12:00
225,1357,0,2023-01-01 02:13:00
0,0,0,2023-01-01 02:14:00
0,0,0,2023-01-01 02:15:00
147,0,1,2023-01-01 02:16:00
262,1011,0,2023-01-01 02:17:00
1032,0,1,2023-01-01 02:18:00
0,0,0,2023-01-01 02:19:00
261,8412,0,2023-01-01 02:20:00
0,0,0,2023-01-01 02:21:00
0,0,0,2023-01-01 02:22:00
294,1719,0,2023-01-01 02:23:00
221,981,0,2023-01-01 02:24:00
284,10352,0,2023-01-01 02:25:00
0,0,0,2023-01-01 02:26:00
